0.5498,2.2900,-0.8726,0.8712,4.42,2.47,-0.33491,0.051811637,0.36039,0.051269196,0.490928,0.249647,0.736393
0.5136,2.2900,-0.7067,0.8742,3.70,1.48,-0.19756,0.054665869,0.13759,0.05461818,0.485566,-0.427329,0.609723
0.4993,2.2890,-0.5057,0.8756,2.94,1.38,-0.19189,0.076286608,0.22139,0.076036061,0.483037,0.156344,0.579240
0.4973,2.2850,-0.2985,0.8765,3.72,1.48,-0.04647,0.094495567,0.14667,0.091184399,0.481402,0.709764,0.992275
0.5117,2.2830,-0.0942,0.8761,6.18,1.83,0.28268,0.074573703,0.32631,0.071436375,0.482129,7.515604,2.829518
0.5210,2.2810,0.1034,0.8756,9.88,2.42,0.15421,0.046105632,0.18564,0.045121536,0.483037,6.683908,2.174477
0.5437,2.2890,0.3109,0.8718,17.14,3.60,0.16468,0.030321816,0.28613,0.029912044,0.489862,15.147802,3.642737
0.5406,2.2940,0.5077,0.8707,32.60,6.23,0.17912,0.024312519,0.31873,0.023928153,0.491815,31.805551,5.687755
0.5598,2.3010,0.6988,0.8676,62.65,11.46,0.17647,0.020784237,0.30216,0.020524493,0.497263,59.773044,11.984273
0.6710,2.3050,0.8564,0.8571,107.79,17.80,0.21595,0.02590753,0.27041,0.026048942,0.515150,105.769020,23.705798

 
