0.5949,2.0480,-0.8565,0.9203,14.39,4.37,-0.16085,0.039309242,0.25546,0.038616238,0.391213,3.542920,2.969529
0.5665,2.0440,-0.7075,0.9227,12.35,2.57,-0.08997,0.039314374,0.19751,0.037593346,0.385519,3.403173,2.296603
0.5512,2.0430,-0.5014,0.9237,10.98,2.72,-0.00657,0.039319508,0.17826,0.051891336,0.383117,4.920576,2.538295
0.5517,2.0450,-0.2967,0.9235,13.21,3.36,0.15649,0.039324644,0.18287,0.054137119,0.383598,11.164613,3.684683
0.5585,2.0470,-0.0970,0.9227,21.24,4.20,0.06517,0.039329781,0.14092,0.041736733,0.385519,11.129915,3.623917
0.5647,2.0480,0.1011,0.9221,31.33,5.51,0.07581,0.039334921,0.14635,0.036956565,0.386952,17.585542,4.960352
0.5834,2.0490,0.3012,0.9207,43.15,7.41,0.11414,0.039340062,0.22065,0.029405144,0.390271,35.600352,7.242989
0.6131,2.0510,0.5000,0.9185,60.76,9.98,0.10964,0.039345206,0.22412,0.024353809,0.395421,48.060913,9.402783
0.7054,2.0520,0.6928,0.9125,89.65,14.02,0.16510,0.039350351,0.23716,0.024369171,0.409077,82.924696,14.683512
1.0130,2.0500,0.8682,0.8924,128.35,18.76,0.33231,0.039355498,0.3958,0.032970508,0.451245,209.988444,30.591164



